Date,Tweet,User,Location,Belief,Keywords_used
11/18/2020,BREAKING Athletic Director Patricia Nicol has canceled all EmersonLions practices following 10 positive COVID19 cases between the colleges students faculty and staff,b'ethanmmcdowell',"b'Boston, MA'",.,keywords
11/18/2020,I need the audience to realize COVID19 was circulating France before the first cases were reported in China Statements like these are ignorant and sinophobic Ive seen multiple tweets like these on the tl and honestly I want better for us,b'salvadorandolar',b'Stolen Tongva Land',.,keywords
11/18/2020,thus it breaksdown and splits a chastisement to what is in the chests verily each is brokendown and split for you may believe and I give you an example about this Imam Nasser Mohammad AlYemeni08 07 2020 ADcovid19 vaccinecoronavirusBiden Harris Trump,b'EDHKNse8ps3kkfa',b'',.,keywords
11/18/2020,Cant believe we just canceled the entire video shoot in Florida due to COVID19 As much as this pains me to do everyones safety will always be my number one priority I might just say fuck it and record the videos with my production crew here in Philly,b'RyanPinks',"b'Philadelphia, PA'",.,keywords
11/18/2020,12 This year will be a tough holiday season We must do our best to follow practical measures to stay safe for our own wellbeing and that of our families,b'joinandrewdo',"b'Orange County, CA '",.,keywords
11/18/2020,Baffled by GovofCO plan to ignore Colorados high risk population To vaccinate healthy medical personnel and those incarcerated FIRST against COVID19 gt Before 65 or those at much greater risk of death What happened to all that concern for law abiding grandma,b'MediaHudson',"b'Colorado, USA'",.,keywords
11/18/2020,glennkirschner2 JewelsMiz I absolutely agree with you Im wonderingcan anyone file charges against Trump for negligent homicide for his ignorance and lack of action for all the Americans who have died from Covid19 and those who are dying,b'KathyHarveyJoh1',b'',.,keywords
11/18/2020,Meetings conventions amp sporting events that were booked by ProvidenceRI and have been cancelled due to the COVID 19 pandemic had a value of 523 million in direct spending to Rhode Island Please limit your Thanksgiving celebration and wear your mask,b'Kadamo',"b'Providence, RI'",.,keywords
11/18/2020,A thread on the accidental and unintentional spread of COVID19 as told by a very diligent parent Worth reading,b'MobileMollie',"b'Indianapolis, IN'",.,keywords
11/18/2020,So I Heard Stories Of Coronavirus Patients In The ICUs Telling The Doctors That This Is Just A Hoax And Immediately Passing Away Donald Trump Has Thousands Of Covid19 Related Deaths On His Hands He Should Be Held Legally Responsible After He Becomes A Citizen Prosecute Him,b'guy_hershey',"b'Portland, OR'",.,keywords
11/18/2020,instagram guides are finally out which means TheSpaceBetweenUs the IGexclusive story I wrote with SmileyPool earlier this year examining COVID19s effect on people and space can now be read so much easier read it on dallasnews instagram,b'malloriesullivn',"b'Dallas, TX'",.,keywords
11/18/2020,Approx 40 people infected and climbing from a 300 person weddingI assume folks knew the risks but went for it anyway What about those infected who didnt go to the wedding What a sad memory of a special day for the couple and their families,b'SmilingDeDe',"b'Bellevue, WA'",.,keywords
11/18/2020,NEW Gov Walz is likely to announce the closure bars restaurants and gyms across Minnesota for 4 weeksHell address the state at 6pm tonight,b'zach_shaw_',b'Minneapolis - St Paul',.,keywords
11/18/2020,Looks like G Nate Herbig finger and S Marcus Epps COVID19 practicing Same with IR guys Isaac Seumalo and Zach Ertz Eagles,b'Mfranknfl',b'',.,keywords
11/18/2020,JimJordan Controlling and prevention of covid19 spreaddeaths is next sir,b'AraujoTomas1',"b'Baytown, TX'",.,keywords
11/18/2020,MicahKolding ZPermaculture BlueRobotDesign realDonaldTrump You snowflakes certainly cant take a joke Biden didnt beat Trump Covid19 did In all other races Democrats and the media suffered a disastrous defeat,b'lawkentoday',"b'Peoria, AZ and Pleasanton, CA'",.,keywords
