Date,Tweet,User,Location,Belief,Keywords_used
11/18/2020,POV Its R42 graduation today C100 pageant that evening and Juke Joint later that night No masks just vibesugh why did Corona come disturb my life,b'Bowieeeeee23',b'',.,keywords
11/18/2020,CircleOfBirds grantmeadows3 TomFul3 UtdThomas realDonaldTrump Also addressing something you said in response to my tweet isnt shifting topics I definitely am not coming up short in this argument that would be you You blamed our corona virus s on immigration and freedom Your blind defense of everything trump is mildy culty at best,b'bret_kain',b'',.,keywords
11/18/2020,Whos lab you trusting to solve Corona virus Like for The Kingdom of Science and senku Retweet for orochimarus genetics lab,b'jmanthebeastyt',b'woke brother accademy ',.,keywords
11/18/2020,Wise words from my momma Dont dwell on the past and dont get corona,b'whitjohnson1997',"b'Magna, UT'",.,keywords
11/18/2020,Got my horoscope read and it said I aint God cut off everyone from before Corona Virus and dick down some new good women raw Gardena California,b'JustoInSpace',b'',.,keywords
11/18/2020,raise your hand if u miss your boyfriend because you havent seen him in a week and wont seem him for another two weeks bc of dumb ass corona virus,b'alexurrrr',b'should be in cali ',.,keywords
11/18/2020,The first corona virus work with moderna was done in 2015 Obama era Read and weep IvankaTrump,b'VanceStewart2',"b'San Diego, CA'",.,keywords
11/18/2020,you eat half a serving of vegetables a day and youre worried about corona virus,b'halfblackcat',b'Gotham',.,keywords
11/18/2020,I didnt wait 18 years of my life to rave for 2 and corona cancel the rest of my life away I need Excision Skrillex GanjaWhiteNight ILLENIUM BONNIEXCLYDE iheartraving MRK1DUBSTEP and more,b'im_just_lee3',"b'Moses Lake, WA'",.,keywords
11/18/2020,Dillard said corona goin up and we gone put somebody in yalls room too How that work,b'_AlexandriaE_',b'Nashville\xe2\x9c\x88\xef\xb8\x8fAtl\xe2\x9c\x88\xef\xb8\x8fNOLA\xf0\x9f\x93\x8d',.,keywords
11/18/2020,I hate corona so bad I wanna go OUT AND DO STUFF,b'hann_kc',b'ASTROWORLD',.,keywords
11/18/2020,Corona killed the beef bacon and turkey ribs industry smhcant find them anywhere,b'Dre_Dat',"b'Atlanta, GA'",.,keywords
11/18/2020,There are less than 20 truly guilty parties in this group The rest are gay porn stars from Lake Titticaca Marquez Reggies side and Costa are all moving back to Hong Kong Jaramillo Corona and Turtlecyber are all moving back to Hong Kong,b'MGunshoe',"b'Salt Lake City, UT'",.,keywords
11/18/2020,JoeBiden We want to see positive results on getting the corona virus under control and out of here,b'Diane60068154',b'',.,keywords
11/18/2020,These curfews are dumb as shit Is anyone actually out running wild on weekdays Most shit closes The only people outare homeless And CoROnA doesnt just turn off and on depending on the time Literally thee most stupid concept ever,b'kmoeaz',"b'Arizona, USA'",.,keywords
11/18/2020,Thats why Im praying somebody gets a lethal corona case and that be that,b'Rickeydanielsf1',"b'Texas, USA'",.,keywords
11/18/2020,Arent yall proud of Dolly for donating her own money towards advancing medical research when our government had ZERO interest in helping anybody but the Trumpies and Corona looked like something only poor people needed to fear That changed though didnt it But thank you,b'SeeMmOh',"b'Los Angeles, California, USA'",.,keywords
11/18/2020,EgregoreMusic VibinWoosh CBSNews Shut up he worked on Obamas economy and still ran it into the ground with corona His tax breaks shift collections to more heavily tax the middle class and hes giving rich folk a break That creates economic instability any student of basic economics could understand,b'HeyItsCobalt',b'The Great State of Colorado',.,keywords
11/18/2020,Fuck corona and her sister the flu both of them hoes can head out first,b'IamChefRykard',b'STL/LAX/I.E/ ',.,keywords
11/18/2020,Fitzpastor When I went to the grocery store admist the first week of the Corona Virus and the cashier was surprised we had found a potatoe to purchase,b'hsojmc',"b'Dallas,TX'",.,keywords
11/18/2020,Another example of how state mandated coronainduced restrictions and lockdowns are only to be used when they conveniently advance political agenda On every single level of government,b'JClemens13',"b'Charlotte, NC'",.,keywords
11/18/2020,So corona came from animals and we destroyed all but 3 of wild animals how hard is it to catch that Pokmon thats killing us all,b'anth0nydenic0la',"b'Staten Island, NY'",.,keywords
11/18/2020,I still cant believe my friends real legal Godgiven name isKAREN CORONA ps shes sweet and cool as hell,b'WildDavidWild',"b'Kailua-Kona, HI'",.,keywords
11/18/2020,JoshWhi66054232 MrBeastExtra Again Im 15 no job no girlfriend and corona is really bad where I am so I cant rlly do anything,b'BalakeAye',b'',.,keywords
11/18/2020,DatModz Denial kills people so lets get you to a Doctor since FL is on fire wCorona Im hopeful for you but lets make sure you dont have oldfashioned pneumonia You work too hard and youve got to rest,b'simplerulesres1',"b'Houston, TX'",.,keywords
11/18/2020,Pfizer press release Corona virus vaccine 95 effective Effective for elderly and across all racial lines Phase 3 complete to over 41000 test subjects No side effects noted Keep in mind vaccines do not help people vaccinations do Deployment is the key,b'Djinn671',"b'Minnesota, USA'",.,keywords
11/18/2020,I feel I can never meditate or feel at peace knowing my roomate coughs and sneezes on everything not covering his shit The only way Id ever get corona is from him lookingforwardtodeath,b'MiaRayneS',"b'Colorado, USA'",.,keywords
11/18/2020,Harvey Weinstein being ill and possibly having corona has been more covered by the media than 44 days of war in Armenia,b'shadesofnatalee',"b'Los Angeles, CA'",.,keywords
11/18/2020,Imagine you get the corona virus shot and your card decline and they infect you again,b'G1213Gomez',b'Miller grove',.,keywords
11/18/2020,This whole corona virus China math Virus Covid Privacy Virus has done me in I have no money no job no car no healthcare no boyfriend no family support no friends Congratulations GovLarryHogan and realDonaldTrump You did a real number on me and everyone in the USA,b'MrDunkleberger',"b'Hampstead, MD'",.,keywords
11/18/2020,Side note this is my favorite audio samplescene ever I left him in my cube at work before corona and Im not over it,b'surelyanne',b'',.,keywords
11/18/2020,if you think lockdown is the issue and corona is not i think you are stoopid,b'itsemmabb',b'',.,keywords
11/18/2020,Oh so you down for the measles and chicken pox vaccines but the Corona virus vaccine is where you draw the line Word lmao,b'NotJacobWelty',b'Nashville',.,keywords
11/18/2020,This vacation needs to come sooner I am so close to just lying to my job and saying I have corona just to not have to touch hair for a few weeks lol lol lol lol lol lol lol lol lol,b'_mistressMO',"b'Houston, TX'",.,keywords
11/18/2020,jisforjordyn Because of corona getting really bad Everything is closing again and my boss prefers I dont And I would have to quarantine if I did,b'kristaa_love',b'',.,keywords
11/18/2020,Its my fucking birthday I hate it hereHappy birthday to me corona Danny devito and rupaul,b'cathandwa',"b'California, USA'",.,keywords
11/18/2020,I learned today that COVIDtranslates to Kobe in Hebrew And corona translates to gloryBeing a conspiracy theorist is fun until it actually gets weird,b'sophiesaidso',"b'Chicago, IL'",.,keywords
11/18/2020,Im so mad I was really excited to finally go to Mexico for Christmas after 8 years and they canceled our trip fuck you corona,b'estephanie_dl',"b'Oklahoma City, OK'",.,keywords
11/18/2020,dorotheascloset PaceTheRage All we know so far is that both the vaccines to release partial phase 3 data have shown 9095 efficacy at protecting against the corona virus that causes Covid19 Thats amazing and wonderful and will stop the pandemic as long as enough people get vaccinated,b'RealCarlosSagan',b'',.,keywords
11/18/2020,Mood prolly shouldnt be turning up on a corona Tuesday anyway Didnt LA see its shadow and 3 more months of lockdown anyway Los Angeles California,b'JustoInSpace',b'',.,keywords
11/18/2020,dorotheascloset PaceTheRage And one later after I saw initial data but before the amazing data recently,b'RealCarlosSagan',b'',.,keywords
11/18/2020,These 11yr old kids out the park saying the corona vaccine and how it isnt going to work My mama says itll just infect me more then protect meNow I know who is antivaxx in my neighborhood goodbye,b'MamaaKobold',"b'Honolulu, HI'",.,keywords
